,smiles
228,C=1C=NC2=C(C1)C(=C(N2)C=3C(N=C4C3C=CC=N4)=O)O
229,C1(C2=CN(N=N2)CC3=CC=CC=C3)=CC=C4C(=C1)C=NN4
231,C=1C(=NN2C(=NN=C2C1)C=3C=CC(=CC3)C(F)(F)F)NC4CC4
232,O=C1C(NCC=2C(OC)=CC(OC)=CC2)C(=NC=3C=CN=CC3)C1=O
234,O=C([C@H]1CC[C@@H](CC1)[C@@H](C)N)NC=2C=CN=CC2
236,O=C1N(C(=O)C=2C1=CC=CC2)C=3C=C(O)C(=CC3)C(=O)O
237,C=1C=CC=CC1C=2N=C(C3=C(N2)C=CC=C3)NC4=CC(C)=NN4
238,C=1N=CC=2SC(C=3N=C(ON3)O)=CC2C1OC4=CC=C(C=C4)I
239,C1(CCNCC1)(C=2C=CC(C3=CNN=C3)=CC2)C4=CC=CC=C4
240,N=1C=CC(NC=2C=CC=CC2C(O)=O)=NC1NC3=CC(=CC=C3)O
241,OC(=O)C1=C2C(NC3=C1C=CC=C3)=C(C=C2)C4CCCC4
242,ClC1=CC=C(OC=2C3=C(SC(=C3)C=4OC(=NN4)N)C=NC2)C=C1
243,BrC1=CC=C(C2=NOC(=O)C2=CC=3C=C(OC)C(OC)=CC3)C=C1
244,O1CCC(CN2N=NC(C=3C=C4C(NN=C4)=CC3)=C2)CC1
245,S(=O)(=O)(NC=1C=C2N=C(C(=NC2=CC1)C)C)C3=CC=C(N)C=C3
246,S1C(N2C=3C(N=C2N)=CC=C(C3)C#N)=NC(=C1)C4=CC=CC=C4
247,S1C(C(=O)NC1=NC2=CC=CC=C2)=CC=3C=C(OC)C(O)=CC3
248,C1(=CC=C2C(C(C3=C(N(N=C3C)C4=CC=CC=C4)N2O)=O)=C1)Cl
249,C1(=NN=C2C(=C1C3=CC=CC=C3)C(=NN2)N)C=4C=CC=CC4
250,N1C(CC2=C(C3=C1C=CC=C3)NC4=C2C=C(C=C4)N(=O)=O)=O
251,ClC1=C2N=CC=C(NC(=O)NC3=NC(C(F)(F)F)=CC=C3)C2=CC=C1
252,ClC1=CC=C(CCNC(=O)C=2SC3=NNC(=C3C2)C)C=C1
253,O=C1C(N(C=2C=CN=CC2)C(=O)C)C(=NC(C(C)(C)C)C)C1=O
254,ClC=1C(Cl)=CC=C(C1)CNC(=O)NC2=CC=3C(=NNC3)C=C2
255,OC1=NC2=C(N3C1=CC(=C3)C4=CC(OC)=CC=C4)C=CC=C2
256,C1(=CC2=C(C=C1)NC(=C2)C(=O)C=3NC4=C(C3)C=C(C=C4)O)O
257,S1C=2C(=C(C3=CC=C(S(=O)(=O)CC)C=C3)C=NC2)C=C1C(=O)N
258,S1C=2C(N=C1NCC3=CC=CC=C3)=CC=C(C2)C=4C=CN=CC4
259,BrC1=CC=C(CNC(=O)NC2=CC=3C(=NNC3)C=C2)C=C1
260,S1C(C(=O)NC1=NC2=CC=CC=C2)=CC3=CC(O)=C(OC)C=C3
261,ClC1=NN=C2NC=3C(NC(=O)C2=C1)=CC=CC3C(=O)N
262,N=1C=CC=C2C1OC3=C2N=C(N=C3N4CCOCC4)C=5C=CC=C(O)C5
263,S(=O)(=O)(NC1=CC=C(C2=CC3=C(NN=C3N)C=C2)C=C1)CC
264,O=C(NCC1=CC=CC=C1)C2=CC=C(C=3C=CN=CC3)C=C2
265,C1=C(C(C#N)=C(N=C1C(NCC=2C=CC=NC2)=O)OCC)N
266,S1C/C(/C(=O)/C(/C1)=C/C2=NC=CC=C2)=C\C3=NC=CC=C3
267,OC=1C=C(C=C(C(=O)NCC2=CC=CC=C2)C#N)C=CC1O
269,BrC1=NC(NC(=O)NC=2C=3C(N=CC2)=CC(OC)=CC3)=CC=C1
270,N1(N=NC(C2=CC=3C(=NNC3N)C=C2)=C1C)CC4=CC=CC=C4
271,O=C1NC(=O)C2=NC(=C3C(=C21)C=C(OC)C(OC)=C3)CC
272,ClC=1C=C2SC(=NC2=CC1)NC(=O)C3=C(OC)C=C(OC)C=C3
273,O1N=C(C=2N(C=3C(CNC4CCNCC4)=CN=CC3N2)CC)C(=N1)N
274,O=C1C(=NC=2C=CN=CC2)C(NCC=3C=C(C(=CC3)C)C)C1=O
275,O(C=1C=C(C=NC1)C=CC2=CC=NC=C2)CC(N)CC3=CC=CC=C3
276,N=1C=NC=2NC=CC2C1N(C3CN(CCC3C)C(=O)CC#N)C
277,[N+]=12C(=C3NC=4C=CC=CC4C3=CC1)C(=O)C=5C2=CC=CC5
278,C=1C=CC=C2C1C3=C(N4C(C5=C3C(NC5=O)=O)=CN=C4)N2
280,C=1C=C(/C=C/2\SC(NC2=O)=O)OC1C=3C=CC(=CC3O)F
