Knock-out Genes,Method Names,Fraggle Scores,The Most Similar Inhibitors,Result Mols
EGFR,Ours,0.49,C=1(C=C(C=CC1)C=2OC=CC2)S(=O)(=O)NC3=CC(=C(C=C3)OC=4C=CN=C5C=C(C(=CC45)OC)OCCCN6CCN(CC6)C)F,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C)CC(OC)C(C)CN(Cc2ccc(F)cc2)C(C)CO3)cc1
EGFR,Ours,0.52,C(NCC1=CC=CC=C1)(C2=CC=C(C3=C(C=C(C=C3)C(C)(C)C)O)C=C2)=O,CC(C)(C)c1ccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1
EGFR,Ours,0.65,S(=O)(=O)(NC(=O)CC1=CC=C(F)C=C1)C2=CC=C(C=C2)C,Cc1ccc(S(=O)(=O)NCCCN2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1
EGFR,Ours,0.5,FC(F)(F)C=1C=C2N=CC=C(NC(=O)NC=3N=C(C(F)(F)F)C=CC3)C2=CC1,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1
EGFR,Ours,0.54,C=1C=C(NC(C2=CC=C(C=C2)N(CCCl)CCCl)=O)C=CC1Cl,O=C(CCCN1CCN(Cc2ccc(Cl)cc2)CC1)Nc1ccc(Cl)cc1
EGFR,Ours,0.46,C=1(C=CC=C(CN(C(NC=2C=CC=CC2)=O)CC=3C=CC(=CC3)F)C1O)Br,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)C(=O)Nc1ccc(F)cc1
EGFR,Ours,0.57,C1C(C2=CC(=C(C=C2)C)C)=NN(C(N)=S)C1C=3C=CC(=CC3)O,CC(C)CC(CC(=O)O)NC(=O)C1=CC2C(=CC(=O)OC2C)N(C)C1c1ccc(O)cc1
EGFR,Ours,0.45,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)C1CCC(CC(=O)NCCCN3CCOCC3)OC1CO2
EGFR,Ours,0.46,N1(CCC(CC1)CCO)C(=O)NC2=CC3=C(N=CN=C3C=C2O[C@@H]4COCC4)NC=5C=C(C(=CC5)F)Cl,CC(NC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccc(Cl)cc2)O1)c1ccccc1
EGFR,Ours,0.46,N1(CCC(CC1)CCO)C(=O)NC2=CC3=C(N=CN=C3C=C2O[C@@H]4COCC4)NC=5C=C(C(=CC5)F)Cl,CC(NC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccc(Cl)cc2)O1)c1ccccc1
EGFR,Ours,0.61,BrC=1C=C(NC2=NC=NC=3C2=CC(NC(=O)CCN4CCOCC4)=CC3)C=CC1,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1cccc(C(F)(F)F)c1
EGFR,Ours,0.42,ClC=1C=C(NC=2C=3C(N=CC2C#N)=CC(OCC)=C(NC(=O)CCN(C)C)C3)C=CC1OCC4=NC=CC=C4,CCCCCC(=O)Nc1ccc2c(c1)OCC(C)N(C(=O)c1cccnc1)CC(C)C(OC)CN(C)C2=O
EGFR,Ours,0.42,ClC=1C=C(NC=2C=3C(N=CC2C#N)=CC(OCC)=C(NC(=O)CCN(C)C)C3)C=CC1OCC4=NC=CC=C4,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1cccnc1)C(C)CO2
EGFR,Ours,0.61,FC=1C(C(=O)NC(CC2=CC=CC=C2)CO)=CC=C(C1)C=3C=CN=CC3,CC(C)(C)S(=O)N1Cc2cc(C(=O)NC3CCN(Cc4ccccc4)C3)nc(-c3cccc(-c4ccncc4)c3)c2C1CCO
EGFR,Ours,0.43,C=1(C=C(C=CC1)C2=CSC=C2)S(=O)(=O)NC3=CC(=C(C=C3)OC=4C=CN=C5C=C(C(=CC45)OC)OCCCN6CCN(CC6)C)F,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#Cc3ccncc3)cc2OC1CN(C)C(=O)c1ccc(F)cc1
EGFR,Ours,0.57,C(NCC1=CC=CC=C1)(C2=CC=C(C3=C(C=C(C=C3)C(C)(C)C)O)C=C2)=O,CCN(CC)CCCNC(=O)c1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccc(Cl)cc2)cc1
EGFR,Ours,0.44,C1=2C(=NC=NC1=CC(=C(C2)OC[C@H](CN3CCOCC3)O)OC)NC4=CC(Cl)=C(C=C4)F,COc1ccccc1CNC(=O)CC1CCC2C(COCC(O)CN2Cc2ccccc2F)O1
EGFR,Ours,0.42,FC(F)(F)C=1C(=NC(NC2=CC=3C4N(C(C3C=C2)CC4)C(=O)CNC(=O)C)=NC1)NC5CCC5,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)CCC(F)(F)F)OCCCCC(C)O2
EGFR,Ours,0.55,N1=C2C(=C(C=C1)OC3=CC=C(C=C3F)NC(C=4C=C(C=CN4)C5=CC=C(C=C5)C)=O)C=C(C(=C2)OCCCN6CCN(CC6)C)OC,COc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)CC(OC)C(C)CN(C(=O)c2ccccn2)C(C)CO3)cc1
EGFR,Ours,0.49,O(CCN1CCCCC1)C2=C(C3=C(OC4=C3C(=O)C=5C(C4=O)=CC=CC5)C=6C2=CC=CC6)C(OC)=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)CCN1CCCCC1
EGFR,Ours,0.41,C1=C(C=2C(=NC=NC2C=C1)NC=3C=CC(OC4=CN=C(C=C4)C)=C(C)C3)O[C@@H](C(N(CCO)C)=O)C,COc1ccc(NC(=O)N(C)CC2Oc3ccc(NC(=O)CCCN(C)C)cc3C(=O)N(C(C)CO)CC2C)cc1
EGFR,Ours,0.36,C1(=C(C(NC2=CC=CC=C2)=O)C=3C=CC=CC3N1C)SSC4=C(C(NC=5C=CC=CC5)=O)C6=CC=CC=C6N4C,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)Nc1ccccc1
EGFR,Ours,0.71,C=1C=CC(=CC1)C(=O)C(CN(C)C)=C,CN(C)CCC=Cc1cccc(C(=O)NCCC(=O)O)c1
EGFR,Ours,0.67,O=C(N1CCCCC1)C2=CC(N3CCC=4C(C3=O)=C(OC)C=C(OC)C4)=CC=C2,COC1CCC2CCOc3ccc(C#N)cc3C(=O)N(C)CC(c3ccccc3)CC(=O)N(C)CC1O2
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.42,C=1C=CC=C(C1NC(C2=CC=CN=C2)=O)N,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.37,C=1C=C(C2=CC(=O)NC(CCCCCC(NC=3C=4C(C=CC3)=CC=CC4N)=O)=N2)C=CC1C5=CC=CC=C5,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.36,C(C=1C2=C(NC1)C=CC=C2)CN3C([C@@H](NC([C@@H](N(C(CCN(C(C3)=O)CC(C)C)=O)C)C)=O)CCCCCC(CC)=O)=O,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.36,C(C=1C2=C(NC1)C=CC=C2)CN3C([C@@H](NC([C@@H](N(C(CCN(C(C3)=O)CC(C)C)=O)C)C)=O)CCCCCC(CC)=O)=O,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.5,S(=O)(=O)(N1CCN(CC1)C2=NC=C(C=N2)C(O)=NO)C3=CC=4C(C=C3)=CC=CC4,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.37,C=1C=C(C2=CC(=O)NC(CCCCCC(NC=3C=4C(C=CC3)=CC=CC4N)=O)=N2)C=CC1C5=CC=CC=C5,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.5,S(=O)(=O)(N1CCN(CC1)C2=NC=C(C=N2)C(O)=NO)C3=CC=4C(C=C3)=CC=CC4,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.5,S(=O)(=O)(N1CCN(CC1)C2=NC=C(C=N2)C(O)=NO)C3=CC=4C(C=C3)=CC=CC4,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.37,C=1C=C(C2=CC(=O)NC(CCCCCC(NC=3C=4C(C=CC3)=CC=CC4N)=O)=N2)C=CC1C5=CC=CC=C5,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.5,S(=O)(=O)(N1CCN(CC1)C2=NC=C(C=N2)C(O)=NO)C3=CC=4C(C=C3)=CC=CC4,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.5,S(=O)(=O)(N1CCN(CC1)C2=NC=C(C=N2)C(O)=NO)C3=CC=4C(C=C3)=CC=CC4,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
HDAC1,Cosine Search,0.34,C1(=NC(=CN1)C2=CC=CC=C2)[C@@H](NC(=O)C=3C=CC=C(C3)C#N)CCCCCC(C)=O,CNC(=O)CCc1cc2ccccc2[nH]1
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
HDAC1,Cosine Search,0.2,C=1(CSC=2OC(=NN2)C=3C=CC=CC3)C=CC(C(=O)NC=4C(=CC=CC4)N)=CC1,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
