,Knock-out Genes,Modal Similarity,The Most Similar Inhibitors,Metric,Scores,Searched Mols
1116,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1117,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1118,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1119,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1120,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1121,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1122,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1123,CTSK,0.84,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.20,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
1124,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1125,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
