Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.65,ClC1=CC=C([C@@H](CNC2CCC(OC)CC2)C(=O)N3CCN(CC3)C=4N=CN=C5C4[C@@H](C[C@H]5O)C)C=C1,CO[C@H](CN(C)C(=O)Nc1ccc(F)cc1)[C@@H](C)CN(Cc1ccccc1Cl)[C@@H](C)CO
AKT1,Cosine Search,0.69,C(N1CCC[C@@]2(CCN(C=3N=CN=C(C3C4CC4)N)C2)C1)[C@H](O)CNS(C5=CN=CC=C5C)(=O)=O,Cc1ccc(cc1)S(=O)(=O)NCC[C@H]1CC[C@H](NC(=O)CC2CC2)[C@H](CO)O1
AKT1,Cosine Search,0.67,OC=1C(=CC=C(N2CCOCC2)C1)C(=O)C,Fc1ccccc1C(=O)C(CN1CCOCC1)c1ccccc1
AKT1,Cosine Search,0.76,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CN1[C@@H]2CC[C@H](CC(=O)NCCN3CCCCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2C1=O
AKT1,Cosine Search,0.97,C1(=CC2=C(C=C1)NC(=C2)C(=O)C=3NC4=C(C3)C=C(C=C4)O)O,Oc1ccc2[nH]c(cc2c1)C(=O)c3cc4ccccc4[nH]3
AKT1,Cosine Search,0.77,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C
AKT1,Cosine Search,0.66,N1=CN=C(C2=CC(=C(C=C12)OC)OC)NC=3C=CC(=CC3)OCC=4C=CC=CC4,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
AKT1,Cosine Search,0.64,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,CC(C)CN1CCN(CC1)C(=O)COC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O
AKT1,Cosine Search,0.76,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4c(NC(=O)c5ccncc5)cccc4C1=O
AKT1,Cosine Search,0.76,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)OCCCC[C@@H](C)Oc4ccc(cc4C1=O)N(C)C
AKT1,Cosine Search,0.83,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C/C=C/c1cnc2O[C@@H](CN(C)S(=O)(=O)c3cn(C)cn3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
AKT1,Cosine Search,0.74,C=1C(=C(C=CN1)N2CCNCC2)NC(C3=CSC(=N3)N4C(=C5C(=C4)C=CC(=C5)OC)O)=O,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)c3nc4ccccc4s3)cc2OC[C@@H](C)NC[C@H]1C
AKT1,Cosine Search,0.75,N1(CCC(CC1)C2=NC=3C(N2)=CC=CC3)CC4=CC=C(C=C4)C=5N=CC(=CC5C6=CC=CC=C6)C#N,C(Cn1c2ccccc2c3ccccc13)c4nc5ccccc5[nH]4
AKT1,Cosine Search,0.73,O1C(C2=NC=3C(N=C2C=4OC=CC4)=CC=C(NC(=O)N(C(C)C)C(C)C)C3)=CC=C1,CC(C)(C)NC(=O)[C@H](N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)c1cccnc1
AKT1,Cosine Search,0.77,N1=CN(C2=NC(=NC(=C12)NCC=3C=CC(=CC3)OC)N(CCO)CCO)C(C)C,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
AKT1,Cosine Search,0.8,C1(=C(C2=CNC3=C2C=CC=C3)C(=O)NC1=O)C4=CNC5=C4C=CC=C5,O=C1NC(=O)C(S1)=Cc1ccc2nccc(-c3ccncc3)c2c1
AKT1,Cosine Search,0.73,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O
AKT1,Cosine Search,0.79,C12(CN(C[C@@H](CN(C3CCCCC3)S(C=4C(=NOC4C)C)(=O)=O)O)CCC1)OC=5C=CC(=CC5C(C2)=O)O,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12
AKT1,Cosine Search,0.66,N1=CN=C(C2=CC(=C(C=C12)OC)OC)NC=3C=CC(=CC3)OCC=4C=CC=CC4,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
AKT1,Cosine Search,0.71,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O
AKT1,Cosine Search,0.62,N1(C(=[N+](C=C1)CCCCCCCCCCCCCCCC)C)CC2=CC=CC=C2,CCCCc1ncc(C=C(/Cc2cccs2)C(O)=O)n1Cc1ccc(cc1)C(O)=O
AKT1,Cosine Search,0.73,C1CCOC=2N=C(NC(NC=3C=C(C(=CC3OCC1)OCCO)Cl)=O)C=NC2C#N,OC[C@H]1O[C@@H](CC(=O)NCc2ccccc2F)C[C@H]3[C@@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34
AKT1,Cosine Search,0.81,O=C(NC1=C(OC)C=CC(OC)=C1)C2=C3N(N=C2)C(C4=CC=CC=C4)=CC=N3,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C
AKT1,Cosine Search,0.67,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@@H]1OC(=O)C(=O)C1O
AKT1,Cosine Search,0.77,C=1C(OC)=C(C=CC1OC)/C=C/C(C(=CC2=CC=C(C(=C2)O)OC)C(/C=C/C=3C(=CC(OC)=CC3)OC)=O)=O,COc1cc(cc(OC)c1OC)C(=O)O
AKT1,Cosine Search,0.8,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC4=CC=C(C=C4CC2)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2F)OCc3ccccc3-c4ccccc4C1=O
AKT1,Cosine Search,0.64,S1C=2N(C(=N)C(C(C2C(=O)N)C=3SC=CC3)C(OCC)=O)C(=O)C1=CC=4SC=CC4,CCOC(=O)CSC1=N/C(=C/c2ccc(cc2)n3cncn3)/C(=O)N1C(=O)C
AKT1,Cosine Search,0.68,C12(CN(C[C@@H](CN(CCOCC)S(C3=CC=CC=C3F)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,C[C@@H](NC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2cccc(F)c2)[C@@H](CO)O1)c1ccccc1
